Date,Close,chg(close),Low,chg(low),High,chg(high)
06/10/2022 23:58,112.24,-1.54,110.3,-3.09,114.12,-0.41
6/13/2022 23:58:00,112.13,-0.11,109.28,-1.02,113.35,-0.77
6/14/2022 23:58:00,110.72,-1.41,109.21,-0.07,113.98,0.63
6/15/2022 23:58:00,108.92,-1.8,108.63,-0.58,110.97,-3.01
6/16/2022 23:58:00,110.41,1.49,107.19,-1.44,110.65,-0.32
6/17/2022 23:58:00,104.24,-6.17,103.39,-3.8,111.06,0.41
6/21/2022 23:58:00,105.25,1.01,103.65,0.26,106.74,-4.32
6/22/2022 23:58:00,102.43,-2.82,98.95,-4.7,104.81,-1.93
6/23/2022 23:58:00,99.53,-2.9,99,0.05,102.26,-2.55
6/24/2022 23:58:00,101.56,2.03,98.49,-0.51,102.46,0.2
